Indicator,Energy_Type,Technology,Unit,year,value
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2022,17892192.464476
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2022,621312.672
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2022,4464711.937
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2022,1307058.436
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2022,2094024.592
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2022,4533787.332621
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2022,145778.31
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2022,1288434.619
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2022,1079382.088
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2022,906232.748
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2023,4610303.352021
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2023,150307.759
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2023,1296010.7889999999
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2023,1426342.002
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2023,1020941.576
